"no","nama","jenis","alamat","kelurahan","kecamatan","kota","kode","no_telp","no_fax","website","email","lat","lng"
1,Budi Kemuliaan ,Rumah Sakit Khusus Ibu dan Anak,Jl. Budi Kemuliaan No. 25 ,Gambir,Gambir,Jakarta Pusat,"10110","3842828","3501012",www.rsbbudikemiaan.com,rsbbudi@indo.net.id,-6.180302,106.81826
2,Profesor Nizar ,Rumah Sakit Khusus Telinga Hidung Tenggorokan,Jl. Kesehatan No. 9,Petojo Selatan,Gambir,Jakarta Pusat,"10160","3843596-3503435","34834982",,rsprofnizar@yahoo.co.id,-6.171435,106.81459
3,TNI-AL R.E. Martadinata,Rumah Sakit Khusus Gigi & Mulut,Jl. Farmasi No. 1,Bendungan Hilir,Tanah Abang,Jakarta Pusat,"10210","5733026","5732701",,,-6.211591,106.808441
4,Bina Estetika,Rumah Sakit Khusus Bedah,Jl. Teuku Cik Ditiro No. 41,Menteng,Menteng,Jakarta Pusat,"10310","3909393","3155258",,"binaes@rad.net.id, rsbe-binaestetika@ yahoo.com",-6.197392,106.836792
5,Jakarta Eye Center,Rumah Sakit Khusus Mata,Jl. Teuku Cik Ditiro No. 46  M,Menteng,Menteng,Jakarta Pusat,"10310","335600-3107434","3904601",www.jakarta-eye-center.com,"cheyra@jakarta_eye_center.com, jec@jakarta-eye-center.com",-6.198522,106.836884
6,Proklamasi,Rumah Sakit Khusus Telinga Hidung Tenggorokan,Jl. Proklamasi  Nomor 43 ,Pegangsaan,Menteng,Jakarta Pusat,"10320","3900002","3900947",www.rs-proklamasi.co.id,admin@rs-proklamasi.co.id,-6.201966,106.84716
7,Tambak,Rumah Sakit Khusus Ibu dan Anak,Jl. Tambak No. 18,Pegangsaan,Menteng,Jakarta Pusat,"10320","2303444","3902550",www.rsiatambak.com,we_care@rsiatambak,-6.206272,106.848473
8,YPK Mandiri,Rumah Sakit Khusus Ibu dan Anak,Jl. Gereja Theresia No. 22,Gondangdia,Menteng,Jakarta Pusat,"10350","3909725","3909806",www.rsiaypkmandiri.com,marketing@rsiaypkmandiri.com,-6.191115,106.827904
9,Bunda Jakarta,Rumah Sakit Khusus Ibu dan Anak,Jl. Teuku Cik Ditiro No. 28,Gondangdia,Menteng,Jakarta Pusat,"10350","3909692","3101077",www.bunda.co.id,"bundahospital@bunda.co.id, rsbunda@mweb.co.id",-6.196026,106.836517
10,FKG Universitas Indonesia,Rumah Sakit Khusus Gigi & Mulut,Jl. Salemba Raya No.4,Kenari,Senen,Jakarta Pusat,"10430","0213916858",,,rsgm_fkgui@yahoo.com,-6.194264,106.848038
11,Salemba Satu Medika,Rumah Sakit Khusus Bedah,Jl. Salemba I  No. 11 - 13,Paseban,Senen,Jakarta Pusat,"10430","3913336","3926687",www.ssmedika.co.id,info@ssmedika.co.id,-6.198886,106.850616
