"no","nama","jenis","alamat","kelurahan","kecamatan","kota","kode","no_telp","no_fax","daftar_online","web","email","lat","lng","url_bed","twitter","facebook","instagram","other_info"
2,Tarakan,Rumah Sakit Umum Daerah,Jl. Kyai Caringin No. 7,Cideng,Gambir,Jakarta Pusat,"10150","3503150, 3503142","3503412,  3863309",,www.rstarakanjakarta.com,rsudtarakan@yahoo.com,-6.171333,106.810013,displaybed.rstarakanjakarta.com,,,,
3,Dr. Mintohardjo,Rumah Sakit Umum TNI - Angkatan Laut,Jl. Bendungan Hilir No. 17,Bendungan Hilir,Tanah Abang,Jakarta Pusat,"10210","5703081 - 85","5711997",,www.rsaldrmintohardjo.com,rsalmintohardjo@ymail.com,-6.210848,106.811996,,,,,
4,Sahid Sahirman,Rumah Sakit Umum,Jl. Jenderal Sudirman Kavling 86,Karet Tengsin,Tanah Abang,Jakarta Pusat,"10220","5704591, 5703231","5705505, 5727213",,www.ssmh.co.id,information@ssmh.co.id,-6.209445,106.819382,,,,,
5,PGI Cikini,Rumah Sakit Umum,Jl. Raden Saleh No. 40 ,Cikini,Menteng,Jakarta Pusat,"10330","38997777","31924663, 31908391",,www.rscikini.com,"tedjowa@yahoo.com, mail@rscikini.com",-6.19127,106.841408,,,,,
6,Menteng Mitra Afia,Rumah Sakit Umum,Jl. Kali Pasir  No. 9,Kebon Sirih,Menteng,Jakarta Pusat,"10340","3154050","3146309",,www.rsmentengmitraafia.com,"panela_ramadita@yahoo.com, info@rsmentengmitraafia.com",-6.187353,106.839081,,,,,
7,Abdi Waluyo,Rumah Sakit Umum,Jl. HOS Cokroaminoto No. 31-33,Gondangdia,Menteng,Jakarta Pusat,"10350","3144989","31930866",,,dr.migot@yahoo.co.id,-6.189762,106.8293,,,,,
8,Bunda Jakarta,Rumah Sakit Umum,Jl. Teuku Cik Ditiro No. 21,Gondangdia,Menteng,Jakarta Pusat,"10350","3909692, 31923939","3101077",,www.bunda.co.id,bundahospital@bunda.co.id,-6.196026,106.836517,,,,,
9,Gatot Soebroto,Rumah Sakit Umum Pusat Angkatan Darat,Jl. Dr. Abdul Rachman Saleh 24,Senen,Senen,Jakarta Pusat,"10410","3441008","3440693",,,rspadgatsu@pdpersi.co.id,-6.176608,106.836861,,,,,
10,Dr. Cipto Mangunkusumo,Rumah Sakit Umum Pusat Nasional,Jl. Diponegoro No. 71,Kenari,Senen,Jakarta Pusat,"10430","3918301","3148991",,www.rscm.co.id,"perbendaharaan.rscm@yahoo.com, dir_rscm@yahoo.com",-6.196762,106.846886,,,,,
11,Moh. Ridwan Meuraksa,Rumah Sakit Tk. II,Jl. Kramat Raya  No. 174,Kenari,Senen,Jakarta Pusat,"10430","3150535, 323094","3916888",,,"tanjung_widia@yahoo.com, rsmrm74@yahoo.com",-6.191414,106.847,,,,,
12,Kramat 128,Rumah Sakit Umum,Jl. Kramat Raya No. 128,Kenari,Senen,Jakarta Pusat,"10430","3909513, 3909514","3909125",,www.rskramat128.com,dyah.agustina.w@gmail.com ; info@rskramat128.com,-6.18536,106.843994,,,,,
13,PK. St. Carolus ,Rumah Sakit Umum,Jl. Salemba Raya No. 41,Paseban,Senen,Jakarta Pusat,"10440","3904441","3103226",,,"markus_wasesa@yahoo.com, humas_pksc.or.id, carolus@pdpersi.co.id",-6.195917,106.851006,,,,,
14,Moh. Husni Thamrin Salemba,Rumah Sakit Umum,Jl. Salemba Tengah 26 - 28,Paseban,Senen,Jakarta Pusat,"10440","3904422 Ext.1900 ;1919","3107816-2305182",,www.thamrinhospital.com,info@thamrinhospital.com,-6.193444,106.852005,,,,,
15,Islam Jakarta Cempaka Putih,Rumah Sakit Umum,Jl. Cempaka Putih Tengah I / 1,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,"10510","42801567-4250451","4206681",,www.rsi.co.id,"rsijpusat@rsi.co.id,  rsij@cbn.net.id",-6.170203,106.870659,,,,,
16,Pertamina Jaya,Rumah Sakit Umum,"Jl. Achmad Yani No. 2, By Pass",Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,"10510","4211911","4211913",,www.rspj.co.id,pertamedika.rspj@gmail.com,-6.173366,106.876312,,,,,
17,Evasari,Rumah Sakit Umum,Jl. Rawamangun No. 47,Rawasari,Cempaka Putih,Jakarta Pusat,"10570","4202851-4","4209725",,www.evasari-jakarta.awalbros.com,info@rsia_evasari@yahoo.com,-6.193554,106.859947,,,,,
18,Mitra Kemayoran,Rumah Sakit Umum,Jl. Landas Pacu Timur,Kebon Kosong,Kemayoran,Jakarta Pusat,"10630","6545555","6545959",,www.mitrakemayoran.com,kemayoran@mitrakeluarga.com,-6.151878,106.858414,,,,,
19,Husada ,Rumah Sakit Umum,Jl. Raya Mangga Besar Raya 137 - 139,Mangga Dua Selatan,Sawah Besar,Jakarta Pusat,"10730","6260208 - 6490090","6497494",,www.husada.co.id,husada@husada.co.id,-6.147598,106.828812,,,,,
21,Islam Jakarta Sukapura,Rumah Sakit Umum,Jl. Tipar - Cakung No. 5,Sukapura,Cilincing,Jakarta Utara,"14140","4400778, 4400779, 4400781","4400782",,www.rsijsukapura@.co.id,rsijsukapura@gmail.com,-6.139646,106.920921,,,,,
