"Nama","Wilayah","Kecamatan","Lat","Lng","Tipe"
"PUSKESMAS KECAMATAN JAGAKARSA","JAKARTA SELATAN","JAGAKARSA",-6.351944,106.814163,"Puskesmas"
"PUSKESMAS KECAMATAN PASAR MINGGU","JAKARTA SELATAN","PASAR MINGGU",-6.320833,106.825554,"Puskesmas"
"PUSKESMAS KECAMATAN CILANDAK","JAKARTA SELATAN","CILANDAK",-6.286667,106.793053,"Puskesmas"
"PUSKESMAS KECAMATAN PESANGGRAHAN","JAKARTA SELATAN","PESANGGRAHAN",-6.245278,106.752777,"Puskesmas"
"PUSKESMAS KECAMATAN KEBAYORAN LAMA","JAKARTA SELATAN","KEBAYORAN LAMA",-6.249722,106.778053,"Puskesmas"
"PUSKESMAS KECAMATAN KEBAYORAN BARU","JAKARTA SELATAN","KEBAYORAN BARU",-6.247222,106.805557,"Puskesmas"
"PUSKESMAS KECAMATAN MAMPANG PRAPATAN","JAKARTA SELATAN","MAMPANG PRAPATAN",-6.271389,106.819725,"Puskesmas"
"PUSKESMAS KECAMATAN PANCORAN","JAKARTA SELATAN","PANCORAN",-6.255278,106.839165,"Puskesmas"
"PUSKESMAS KECAMATAN TEBET","JAKARTA SELATAN","TEBET",-6.235556,106.856667,"Puskesmas"
"PUSKESMAS KECAMATAN SETIABUDI","JAKARTA SELATAN","SETIA BUDI",-6.206667,106.833611,"Puskesmas"
"PUSKESMAS KECAMATAN PASAR REBO","JAKARTA TIMUR","PASAR REBO",-6.339167,106.861389,"Puskesmas"
"PUSKESMAS KECAMATAN CIRACAS","JAKARTA TIMUR","CIRACAS",-6.311111,106.874443,"Puskesmas"
"PUSKESMAS KECAMATAN CIPAYUNG","JAKARTA TIMUR","CIPAYUNG",-6.291944,106.906113,"Puskesmas"
"PUSKESMAS KECAMATAN MAKASAR","JAKARTA TIMUR","MAKASAR",-6.282222,106.878059,"Puskesmas"
"PUSKESMAS KECAMATAN KRAMAT JATI","JAKARTA TIMUR","KRAMAT JATI",-6.269722,106.868057,"Puskesmas"
"PUSKESMAS KECAMATAN JATINEGARA","JAKARTA TIMUR","JATINEGARA",-6.213889,106.862778,"Puskesmas"
"PUSKESMAS KECAMATAN DUREN SAWIT","JAKARTA TIMUR","DUREN SAWIT",-6.241944,106.910835,"Puskesmas"
"PUSKESMAS KECAMATAN CAKUNG","JAKARTA TIMUR","CAKUNG",-6.198056,106.905281,"Puskesmas"
"PUSKESMAS KECAMATAN PULO GADUNG","JAKARTA TIMUR","PULO GADUNG",-6.186389,106.895554,"Puskesmas"
"PUSKESMAS KECAMATAN TANAH ABANG","JAKARTA PUSAT","TANAH ABANG",-6.191111,106.81472,"Puskesmas"
"PUSKESMAS KECAMATAN MENTENG","JAKARTA PUSAT","MENTENG",-6.199444,106.84111,"Puskesmas"
"PUSKESMAS KECAMATAN SENEN","JAKARTA PUSAT","SENEN",-6.189722,106.842781,"Puskesmas"
"PUSKESMAS KECAMATAN JOHAR BARU","JAKARTA PUSAT","JOHAR BARU",-6.181944,106.861664,"Puskesmas"
"PUSKESMAS KECAMATAN CEMPAKA PUTIH","JAKARTA PUSAT","CEMPAKA PUTIH",-6.175556,106.861115,"Puskesmas"
"PUSKESMAS KECAMATAN KEMAYORAN","JAKARTA PUSAT","KEMAYORAN",-6.171389,106.855553,"Puskesmas"
"PUSKESMAS KECAMATAN SAWAH BESAR","JAKARTA PUSAT","SAWAH BESAR",-6.137778,106.826942,"Puskesmas"
"PUSKESMAS KECAMATAN GAMBIR","JAKARTA PUSAT","GAMBIR",-6.170556,106.819168,"Puskesmas"
"PUSKESMAS KECAMATAN KEMBANGAN","JAKARTA BARAT","KEMBANGAN",-6.214444,106.724167,"Puskesmas"
"PUSKESMAS KECAMATAN KEBON JERUK","JAKARTA BARAT","KEBON JERUK",-6.198889,106.765282,"Puskesmas"
"PUSKESMAS KECAMATAN PAL MERAH","JAKARTA BARAT","PALMERAH",-6.208333,106.788612,"Puskesmas"
"PUSKESMAS KECAMATAN GROGOL PETAMBURAN","JAKARTA BARAT","GROGOL PETAMBURAN",-6.151111,106.779724,"Puskesmas"
"PUSKESMAS KECAMATAN TAMBORA","JAKARTA BARAT","TAMBORA",-6.148056,106.804726,"Puskesmas"
"PUSKESMAS KECAMATAN TAMANSARI","JAKARTA BARAT","TAMAN SARI",-6.143889,106.819168,"Puskesmas"
"PUSKESMAS KECAMATAN CENGKARENG","JAKARTA BARAT","CENGKARENG",-6.144444,106.728615,"Puskesmas"
"PUSKESMAS KECAMATAN KALIDERES","JAKARTA BARAT","KALIDERES",-6.12677,106.7162256,"Puskesmas"
"PUSKESMAS KECAMATAN PENJARINGAN","JAKARTA UTARA","PENJARINGAN",-6.138333,106.781113,"Puskesmas"
"PUSKESMAS KECAMATAN PADEMANGAN","JAKARTA UTARA","PADEMANGAN",-6.136944,106.843613,"Puskesmas"
"PUSKESMAS KECAMATAN TANJUNG PRIOK","JAKARTA UTARA","TANJUNG PRIOK",-6.116111,106.889168,"Puskesmas"
"PUSKESMAS KECAMATAN KOJA","JAKARTA UTARA","KOJA",-6.119444,106.919441,"Puskesmas"
"PUSKESMAS KECAMATAN KELAPA GADING","JAKARTA UTARA","KELAPA GADING",-6.155915,106.904785,"Puskesmas"
"PUSKESMAS KECAMATAN CILINCING","JAKARTA UTARA","CILINCING",-6.148333,106.924446,"Puskesmas"
"Pusk. Kec. Kep.Seribu Utara","KEPULAUAN SERIBU","Kep.Seribu Utara",-5.654261,106.567818,"Puskesmas"
"Pusk. Kec. Kep.Seribu Selatan","KEPULAUAN SERIBU","Kep.Seribu Selatan",-5.798503,106.498444,"Puskesmas"
"Budi Kemuliaan ","Jakarta Pusat","Gambir",-6.180302,106.81826,"RS Umum"
"Profesor Nizar ","Jakarta Pusat","Gambir",-6.171435,106.81459,"RS Umum"
"TNI-AL R.E. Martadinata","Jakarta Pusat","Tanah Abang",-6.211591,106.808441,"RS Umum"
"Bina Estetika","Jakarta Pusat","Menteng",-6.197392,106.836792,"RS Umum"
"Jakarta Eye Center","Jakarta Pusat","Menteng",-6.198522,106.836884,"RS Umum"
"Proklamasi","Jakarta Pusat","Menteng",-6.201966,106.84716,"RS Umum"
"Tambak","Jakarta Pusat","Menteng",-6.206272,106.848473,"RS Umum"
"YPK Mandiri","Jakarta Pusat","Menteng",-6.191115,106.827904,"RS Umum"
"Bunda Jakarta","Jakarta Pusat","Menteng",-6.196026,106.836517,"RS Umum"
"FKG Universitas Indonesia","Jakarta Pusat","Senen",-6.194264,106.848038,"RS Umum"
"Salemba Satu Medika","Jakarta Pusat","Senen",-6.198886,106.850616,"RS Umum"
"Berkat Ibu  (tidak melakukan keg.opr. sejak 25-7-2014)","Jakarta Pusat","Kemayoran",-6.163449,106.865448,"RS Umum"
"Firdaus","Jakarta Utara","Cilincing",-6.155844,106.923187,"RS Umum"
"Santo Yusuf","Jakarta Utara","Tanjung Priok",-6.117114,106.881912,"RS Umum"
"Prof.Sulianti Saroso","Jakarta Utara","Tanjung Priok",-6.130169,106.861916,"RS Umum"
"Family","Jakarta Utara","Penjaringan",-6.133434,106.790291,"RS Umum"
"Grand Family","Jakarta Utara","Penjaringan",-6.123199,106.738953,"RS Umum"
"Aries","Jakarta Barat","Tambora",-6.157625,106.809784,"RS Umum"
"Dharmais","Jakarta Barat","Pal Merah",-6.187047,106.797493,"RS Umum"
"Harapan Kita","Jakarta Barat","Pal Merah",-6.184582,106.797806,"RS Umum"
"Harapan Kita ","Jakarta Barat","Pal Merah",-6.184582,106.797806,"RS Umum"
"FKG Universitas Trisakti","Jakarta Barat","Grogol Petamburan",-6.167134,106.796776,"RS Umum"
"Ibnu Sina","Jakarta Barat","Grogol Petamburan",-6.160499,106.796013,"RS Umum"
"Dr.Soeharto Heerdjan","Jakarta Barat","Grogol Petamburan",-6.163072,106.788712,"RS Umum"
"Bina Sehat Mandiri ","Jakarta Barat","Kebon Jeruk",-6.185669,106.771454,"RS Umum"
